Year ,GrainC1    ,LeafC1     ,StemC1     ,RootC1     ,GrainC2    ,LeafC2     ,StemC2     ,RootC2     ,GrainC3    ,LeafC3     ,StemC3     ,RootC3     ,SOC 0-10cm ,SOC 10-20cm,SOC 20-30cm,SOC 30-40cm,SOC 40-50cm,SOC_0-10cm ,SOC_10-20cm,SOC_20-30cm,SOC_30-40cm,SOC_40-50cm,IniSOC     ,End_SOC    ,dSOC       ,ShootLitterC_input,RootLitterC_input,ManureC_input,RootExudation_DOC,Soil-CO2   ,Leach_C    ,Runoff_C   ,CH4        ,IniSON     ,IniSIN     ,EndSON     ,EndSIN     ,dSN        ,Atmo_N_input,Fertilizer_N_input,Manure_N_input,Litter_N_input,N_fixation ,Crop_N_uptake,Leach_NO3  ,Runoff_SON ,Leach_DON  ,N2O_flux   ,NO_flux    ,N2_flux    ,NH3_flux   ,exchengeable-NH4,PET        ,Transpiration,Evaporation,WaterLeach ,Runoff     ,Irrigation ,Precipitation,DeepWater  ,MeanT      ,WindSpeed  ,ColdStress ,WaterStress,N_Stress   ,Cut_CropC  ,yr_end_grain,yr_end_leaf,yr_end_stem,yr_end_root,yr_end_stub,
1,398.93,380.66,1504.36,761.32,0,0,0,0,7.05,4.31,4.31,3.92,0.0217,0.019,0.019,0.019,0.019,23333.78,20414.04,20413.12,20413.04,30619.94,112162.1,115193.91,3031.8,783.19,26.6,2250,179.19,207.93,0,0,-1.19,11115.26,3.25,11281.34,19.1,181.93,0,0,450,23.42,0,59.39,0.01,0,0,1.44,0.1,0.04,3.29,5.96,1053.19,622.17,267.72,570.41,134.94,900,611.9,0.05,12.89,2,0.77,0.49,0.66,0,0.05,0.05,1500.65,622.44,0,
2,340.45,324.86,1283.84,649.72,48.17,1926.98,1926.98,915.32,4.91,196.49,196.49,93.33,0.0288,0.0191,0.019,0.019,0.019,30874.03,20508.79,20424.03,20424.39,30638.27,115193.91,122869.5,7675.59,2686.94,920.44,4500,559.67,992.31,0,0.02,-1.19,11281.34,19.1,11512.21,102.13,313.9,0,0,450,73.31,30.83,85.9,0.01,0.01,0,2.56,0.18,0.06,12.09,8.32,1052.11,756.26,103.36,364.75,99.46,900,611.9,0.08,12.89,2,0.77,0.42,0.76,0,0.06,0.05,2773.52,979.64,2289.37,
3,616.88,588.63,2326.26,1177.26,10.54,421.42,421.42,200.17,393.72,240.6,240.6,218.54,0.0342,0.0191,0.019,0.019,0.019,36671.95,20553.63,20430.52,20431.5,30649.82,122869.51,128737.41,5867.9,2161.58,497.94,4500,779.57,2071.91,0,0.02,-1.11,11512.21,102.13,11741.74,92.15,219.55,0,0,450,48.61,5.91,145.38,0.01,0.11,0,9.16,0.26,0.06,9.43,7.4,1050.55,801.51,30.37,470.48,106.32,900,611.9,0.08,12.89,2,0.77,0.42,0.98,0,0.07,0.06,5076.29,1669.09,3085.06,     
4,594.94,567.69,2243.5,1135.37,17.29,691.52,691.52,328.47,395.77,241.86,241.86,219.63,0.0394,0.0192,0.019,0.019,0.019,42312.63,20603.77,20431.38,20433.09,30653.16,128737.41,134434.03,5696.63,2428.32,657.51,4500,1066.21,2956.14,0.01,0.03,-1.09,11741.74,92.15,11983.67,84,233.78,0,0,450,52.81,9.57,145.94,0.01,0.1,0,10.22,0.29,0.08,8.18,6.83,1048.98,806.53,9.11,492.89,107.3,900,611.9,0.06,12.89,2,0.77,0.44,0.94,0,0.07,0.06,7278.55,2132.02,4140.43,
5,749.66,715.32,2826.95,1430.64,14.55,581.91,581.91,276.41,0,0,0,0,0.0443,0.0192,0.019,0.019,0.019,47584.9,20627.06,20433.02,20435.38,30657.31,134434.02,139737.67,5303.66,2898.99,415.76,4500,1349.48,3861.17,0.01,0.03,-1.01,11983.67,84,12234.43,86.46,253.23,0,0,450,59.38,8.09,131.57,0.01,0.09,0,10.94,0.31,0.1,7.25,6.39,1047.03,721.71,3.52,593.18,107.58,900,611.9,0.08,12.89,2,0.77,0.49,0.96,0,0.07,0.07,10040.72,2709.1,3949.58,
6,582.59,555.91,2196.95,1111.82,19.46,778.37,778.37,369.72,399.61,244.21,244.21,221.75,0.0491,0.0193,0.019,0.019,0.019,52659.69,20673.6,20427.1,20430.13,30650.32,139737.69,144840.84,5103.16,2735.26,747.57,4500,1500.42,4380.78,0.01,0.03,-1.11,12234.43,86.46,12485.98,79.42,244.51,0,0,450,59.13,10.74,144.68,0.01,0.09,0,11.41,0.34,0.11,6.6,6.06,1045.5,795.54,2.53,509.63,107.58,900,611.9,0.06,12.89,2,0.77,0.47,0.88,0,0.07,0.06,12146.7,2863.19,4908.02,
7,541.93,517.11,2043.62,1034.22,18.34,733.51,733.51,348.42,397.55,242.95,242.95,220.57,0.0536,0.0193,0.019,0.019,0.019,57566.27,20714.82,20419.38,20423.04,30640.52,144840.81,149764.02,4923.2,2967.02,729.89,4500,1545.31,4819.78,0.01,0.04,-1.17,12485.98,79.42,12744.62,79.79,259.01,0,0,450,57.84,10.13,136.19,0,0.08,0,11.72,0.34,0.12,6.09,5.88,1044.11,791.09,2.53,499.03,107.58,900,611.9,0.06,12.89,2,0.77,0.45,0.86,0,0.06,0.06,14072.6,2910.16,5486.54,
8,544.6,519.66,2053.68,1039.31,18.17,726.67,726.67,345.17,392.85,240.08,240.08,217.97,0.058,0.0193,0.019,0.019,0.019,62303.17,20754.24,20411.5,20415.79,30630.48,149764.02,154515.19,4751.17,3175.31,726.38,4500,1566.29,5217.57,0.01,0.04,-1.19,12744.62,79.79,13009.7,79.18,264.47,0,0,450,58.7,10.03,136.05,0,0.08,0,12.41,0.35,0.12,5.77,5.6,1042.75,791.25,2.52,498.69,107.58,900,611.9,0.06,12.89,2,0.77,0.45,0.87,0,0.07,0.06,15979.38,2947.76,5866.89,
9,548.12,523.01,2066.94,1046.02,18.24,729.45,729.45,346.49,380.98,232.82,232.82,211.36,0.0623,0.0194,0.019,0.019,0.019,66857.01,20792.24,20403.59,20408.51,30620.4,154515.2,159081.75,4566.55,3326.32,723.03,4500,1584,5567.67,0.01,0.04,-1.21,13009.7,79.18,13279.12,78.57,268.82,0,0,450,59.59,10.07,135.35,0,0.08,0,13,0.36,0.13,5.52,5.41,1041.41,789.83,2.52,498.33,107.57,900,611.9,0.06,12.89,2,0.77,0.45,0.87,0,0.07,0.06,17867.38,2981,6114.4,
10,546.62,521.58,2061.28,1043.16,18.26,730.43,730.43,346.95,376.52,230.09,230.09,208.87,0.0664,0.0194,0.019,0.019,0.019,71231.46,20829.25,20395.52,20401.06,30610.05,159081.75,163467.34,4385.59,3432.24,722.39,4500,1596.09,5866.06,0.01,0.04,-1.23,13279.12,78.57,13551.42,78.06,271.79,0,0,450,60.28,10.08,134.73,0,0.08,0,13.52,0.36,0.14,5.34,5.25,1040.09,791.51,2.52,497.96,107.57,900,611.9,0.06,12.89,2,0.77,0.45,0.85,0,0.07,0.06,19714.97,3001.86,6279.88,
11,548.31,523.2,2067.67,1046.39,18.49,739.54,739.54,351.28,369.29,225.68,225.68,204.87,0.0703,0.0194,0.019,0.019,0.019,75434.95,20865.73,20387.46,20393.61,30599.71,163467.36,167681.45,4214.09,3522.21,723.73,4500,1606.02,6138.77,0.01,0.04,-1.25,13551.42,78.06,13825.8,77.74,274.06,0,0,450,61.16,10.2,134.39,0,0.08,0,13.95,0.37,0.14,5.22,5.13,1038.8,792.85,2.51,497.38,107.57,900,611.9,0.06,12.89,2,0.77,0.45,0.87,0,0.07,0.06,21531.64,3020.18,6398.4,
12,551.32,526.07,2079.03,1052.14,18.47,738.62,738.62,350.84,362.28,221.39,221.39,200.97,0.0741,0.0195,0.019,0.019,0.019,79481.45,20901.3,20379.42,20386.19,30589.4,167681.45,171737.77,4056.31,3601.27,720.46,4500,1615.13,6381.5,0.01,0.04,-1.27,13825.8,77.74,14101.69,77.59,275.74,0,0,450,62.11,10.18,134.09,0,0.08,0,14.3,0.37,0.15,5.12,5.03,1037.53,793.21,2.51,497.25,107.57,900,611.9,0.06,12.89,2,0.77,0.45,0.87,0,0.07,0.06,23319.73,3037.97,6466.21,
13,553.76,528.39,2088.21,1056.78,18.46,738.32,738.32,350.7,358.14,218.86,218.86,198.68,0.0777,0.0195,0.019,0.019,0.019,83407.05,20936.29,20371.42,20378.79,30579.11,171737.75,175672.66,3934.91,3667.43,719,4500,1623.62,6576.13,0.01,0.04,-1.29,14101.69,77.59,14378.68,77.38,276.78,0,0,450,63.1,10.18,134.12,0,0.08,0,14.61,0.38,0.16,5.05,4.97,1036.29,794.95,2.51,496.67,107.57,900,611.9,0.06,12.89,2,0.77,0.45,0.86,0,0.07,0.06,25074.64,3054.72,6505.18,
14,553.42,528.07,2086.95,1056.15,18.57,742.86,742.86,352.86,359.75,219.85,219.85,199.57,0.0813,0.0195,0.019,0.019,0.019,87215.21,20971.08,20363.37,20371.35,30568.76,175672.67,179489.77,3817.09,3724.77,722.79,4500,1630.17,6761.63,0.01,0.04,-1.31,14378.68,77.38,14656.48,77.3,277.73,0,0,450,64.06,10.23,134.18,0,0.08,0,14.86,0.38,0.16,5.01,4.93,1035.08,795.93,2.5,496.58,107.57,900,611.9,0.06,12.89,2,0.77,0.45,0.84,0,0.07,0.06,26783.67,3065.99,6543.55,
15,556.27,530.79,2097.7,1061.59,18.59,743.51,743.51,353.17,356.16,217.65,217.65,197.57,0.0847,0.0196,0.019,0.019,0.019,90931.5,21005.36,20355.38,20363.95,30558.48,179489.77,183214.66,3724.89,3787.56,721.68,4500,1636.51,6921.84,0.01,0.04,-1.32,14656.48,77.3,14935.01,77.47,278.7,0,0,450,65.14,10.24,134.24,0,0.08,0,15.05,0.39,0.17,4.99,4.89,1033.89,796.46,2.5,496.01,107.57,900,611.9,0.06,12.89,2,0.77,0.45,0.86,0,0.07,0.06,28456.66,3078.55,6564.84,
16,559.53,533.9,2109.97,1067.8,18.44,737.64,737.64,350.38,356.03,217.58,217.58,197.51,0.0881,0.0196,0.019,0.019,0.019,94568.39,21039.06,20347.45,20356.62,30548.29,183214.69,186859.81,3645.13,3848.29,719.54,4500,1643.44,7067.16,0.01,0.04,-1.33,14935.01,77.47,15214.08,77.65,279.25,0,0,450,66.3,10.16,134.63,0,0.08,0,15.18,0.4,0.17,4.99,4.82,1032.73,796.59,2.5,495.9,107.57,900,611.9,0.05,12.89,2,0.77,0.45,0.88,0,0.07,0.06,30092.98,3092.83,6568.54,
17,563.35,537.55,2124.41,1075.1,18.43,737.06,737.06,350.1,355.63,217.33,217.33,197.28,0.0914,0.0196,0.019,0.019,0.019,98144.67,21072.43,20339.61,20349.36,30538.21,186859.81,190444.28,3584.47,3907.61,720.07,4500,1651.64,7195.87,0.01,0.04,-1.34,15214.08,77.65,15493.69,77.76,279.72,0,0,450,67.57,10.15,135.16,0,0.08,0,15.31,0.4,0.18,4.99,4.79,1031.6,797.63,2.49,495.39,107.56,900,611.9,0.05,12.89,2,0.77,0.45,0.89,0,0.07,0.06,31692.74,3109.51,6569.29,
18,566.73,540.78,2137.15,1081.55,18.48,739.3,739.3,351.17,354.96,216.92,216.92,196.91,0.0947,0.0197,0.0189,0.019,0.019,101676.14,21105.53,20331.8,20342.15,30528.2,190444.28,193983.83,3539.55,3967.48,721.66,4500,1660.53,7311.11,0.01,0.04,-1.36,15493.69,77.76,15773.77,77.9,280.22,0,0,450,68.86,10.18,135.65,0,0.08,0,15.52,0.41,0.19,5.01,4.78,1030.49,798.61,2.49,495.01,107.56,900,611.9,0.05,12.89,2,0.77,0.45,0.89,0,0.07,0.06,33252.38,3126.67,6572.74,
19,567.75,541.75,2141,1083.5,18.48,739.33,739.33,351.18,353.86,216.25,216.25,196.31,0.098,0.0197,0.0189,0.0189,0.019,105146.91,21138.18,20323.98,20334.91,30518.15,193983.83,197462.13,3478.3,4024.68,721.85,4500,1668.33,7437.6,0.01,0.04,-1.37,15773.77,77.9,16054.21,78.48,281.02,0,0,450,70.04,10.17,135.67,0,0.08,0,15.73,0.41,0.19,5.03,4.78,1029.42,797.19,2.49,494.92,107.57,900,611.9,0.07,12.89,2,0.77,0.45,0.86,0,0.07,0.06,34761.25,3140.09,6573.2,
20,570.53,544.4,2151.46,1088.79,18.3,732.17,732.17,347.78,357.27,218.33,218.33,198.19,0.101,0.0197,0.0189,0.0189,0.0189,108449.44,21170.36,20316.21,20327.72,30508.17,197462.13,200771.89,3309.77,3957.45,721.07,4500,1675.62,7545.43,0.01,0.04,-1.39,16054.21,78.48,16332.65,78.79,278.75,0,0,450,71.35,10.07,136.31,0,0.08,0,15.93,0.42,0.2,5.06,4.77,1028.38,796.67,2.49,494.75,107.57,900,611.9,0.06,12.89,2,0.77,0.45,0.88,0,0.07,0.06,36224.46,3154.55,5212.87,
